
[br01 BR New London 3.600000]
<跳跃>
BR Manchester: 3G (2.1, 1.4) (79978, -52343) jumpgate 
BR Cambridge: 6G (2.4, 1.0) (72807, 60834) jumpgate 
BR Newcastle: 2D (1.8, 2.3) (-12034, -93084) jumpgate 
BR Dublin: 6B (2.1, 2.6) (-78332, 56134) jumpgate 
BR Cambridge: 5G (1.6, 1.9) (88451, 10446) jumphole_red 
BR Leeds: 3C (1.3, 1.8) (-57228, -66762) jumphole_red 
BR Dublin: 5C (2.5, 1.1) (-70425, 26748) jumphole_red 
<基地>
Br01_Sun: 5E (1.0, 1.0) (0, 0) sun_2000 
Br01_01: 6D (2.4, 1.7) (-24156, 60555) planet_earthgrncld_4000 
Br01_planet_Dover: 4F (2.1, 1.2) (40239, -16688) planet_gasgrncld_3000 
Br01_01_dock_ring: 6D (2.2, 1.8) (-21121, 57497) dock_ring 
Br01_01_docking_fixture: 6D (2.2, 1.8) (-21084, 57464) docking_fixture 
Br01_02: 3D (2.9, 1.5) (-26191, -37664) space_freeport01 
Br01_02_carrier_proto: 3D (3.0, 1.5) (-26342, -36858) dsy_bret_carrier_proto 
Br01_02_space_industrial_1: 3D (2.9, 1.5) (-26191, -38470) space_industrial 
Br01_02_space_industrial_2: 3D (3.0, 1.5) (-26191, -36859) space_industrial 
Br01_02_space_industrial_3: 3D (2.9, 1.5) (-26191, -37664) space_industrial02 
Br01_02_shipyard_1: 3D (3.0, 1.5) (-26382, -36858) shipyard 
Br01_02_shipyard_2: 3D (2.9, 1.5) (-26381, -38465) shipyard 
Br01_02_shipyard_3: 3D (2.9, 1.5) (-26381, -38465) shipyard 
Br01_02_shipyard_4: 3D (3.0, 1.5) (-26382, -36858) shipyard 
Br01_02_shipyard_5: 3D (2.9, 1.5) (-26376, -37844) shipyard 
Br01_02_shipyard_6: 3D (2.9, 1.5) (-26376, -37484) shipyard 
Br01_02_mplatform_1: 3D (2.8, 1.5) (-26191, -38755) mplatform 
Br01_02_mplatform_2: 3D (3.0, 1.5) (-26191, -36574) mplatform 
Br01_depot_scrap_metal_1: 3D (2.8, 1.5) (-26958, -39137) depot_scrap_metal 
Br01_depot_scrap_metal_2: 3D (2.8, 1.5) (-26959, -39329) depot_scrap_metal 
Br01_depot_toxic_waste_1: 3D (2.8, 1.5) (-27144, -39139) depot_toxic_waste 
Br01_depot_toxic_waste_2: 3D (2.8, 1.5) (-27149, -39330) depot_toxic_waste 
Br01_03: 6D (1.9, 1.1) (-33822, 52837) b_battleship 
Br01_04: 6D (2.2, 2.0) (-18774, 57733) largestation1 
Br01_depot_food_1: 6D (2.1, 2.0) (-18565, 56666) depot_food 
Br01_05: 4F (2.4, 1.3) (41338, -10083) outpost 
Br01_06: 6D (2.1, 1.9) (-20645, 55582) outpost 
Br01_07: 4F (2.3, 1.3) (40670, -12442) space_shipping02 
Br01_space_industrial_3: 4F (2.3, 1.3) (41312, -12442) space_industrial 
Br01_depot_mining_machinery_2: 4F (2.3, 1.3) (41505, -12690) depot_mining_machinery 
Br01_depot_consumer_goods_1: 4F (2.3, 1.3) (41631, -12688) depot_consumer_goods 
Br01_09: 5G (2.3, 1.1) (74082, 23022) m_huegenot 
Br04_03: 2D (1.9, 2.3) (-13300, -91500) b_battleship 
